level,code,message
WARN,SCHEMA,corporate_action_type ← 원장 'event_type' 로 매핑 (표기 상이)
WARN,SCHEMA,effective_date_raw ← 원장 'event_effective_date' 로 매핑 (표기 상이)
WARN,SCHEMA,listing_or_resume_date_raw ← 원장 'listing_or_resume_date' 로 매핑 (표기 상이)
WARN,SCHEMA,rcept_no ← 원장 'latest_event_rcept_no' 로 매핑 (표기 상이)
WARN,SCHEMA,선택 필드 없음: approved_adjustment_factor methodology_decision_id
WARN,DATE,상장·재개일 공란 3건 — 값이 같은 것과 미기입은 다르다
INFO,DATE,두 날짜 모두 기입 5건 · 그중 서로 다른 건 5건
INFO,MATCH,양쪽 포착 1건 · QA만 9건 · 원장만 7건
WARN,MATCH,QA만 포착 → 원장 누락 후보: 012450 20251124 유상증자결정(종속회사의주요경영사항)
WARN,MATCH,QA만 포착 → 원장 누락 후보: 012450 20251124 유상증자결정(종속회사의주요경영사항)
WARN,MATCH,QA만 포착 → 원장 누락 후보: 012450 20251222 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,MATCH,QA만 포착 → 원장 누락 후보: 012450 20251222 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,MATCH,QA만 포착 → 원장 누락 후보: 012450 20251223 [기재정정]유상증자결정(종속회사의주요경영사항)
INFO,MATCH,QA만 포착이나 정정본이 원장에 있음 → 정상: 010120 20260205 주식분할결정
WARN,MATCH,QA만 포착 → 원장 누락 후보: 012450 20260304 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,MATCH,QA만 포착 → 원장 누락 후보: 018260 20260430 유상증자또는주식관련사채등의발행결과(자율공시)
WARN,MATCH,QA만 포착 → 원장 누락 후보: 079550 20260626 주요사항보고서(유상증자결정)
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 010120 20220208000496
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 012450 20221104000248
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 012450 20230111000256
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 012450 20240718000388
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 064400 20250117000531
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 012450 20250429800658
INFO,MATCH,원장만 포착 → QA 필터 한계 유형(SEAL §4): 012450 20250709800230
INFO,SCOPE,원장 조회 종료일 2026-05-15 · pit_status ['COLLECTION_CUTOFF_APPLIED_20260515']
FAIL,SCOPE,조회 종료 2026-05-15 < 파일럿 지수구간 종료 2026-06-30 — 2026-05-15 이후 기업행사가 원장에 들어올 수 없다
FAIL,SCOPE,조회 종료 2026-05-15 < 06-30 회차 자료마감일 2026-06-23 — 선정 근거 구간도 덮지 못한다
INFO,SWEEP,원장 밖 후보 53건 (1차 키워드 9 · 2차 총회·정관 44)
WARN,SWEEP,1차: 010120 20260205 주식분할결정
WARN,SWEEP,1차: 012450 20251124 유상증자결정(종속회사의주요경영사항)
WARN,SWEEP,1차: 012450 20251124 유상증자결정(종속회사의주요경영사항)
WARN,SWEEP,1차: 012450 20251222 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,SWEEP,1차: 012450 20251222 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,SWEEP,1차: 012450 20251223 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,SWEEP,1차: 012450 20260304 [기재정정]유상증자결정(종속회사의주요경영사항)
WARN,SWEEP,1차: 018260 20260430 유상증자또는주식관련사채등의발행결과(자율공시)
WARN,SWEEP,1차: 079550 20260626 주요사항보고서(유상증자결정)
INFO,SWEEP,2차 44건은 상호변경형(079550 사례) 확인용. 가격조정 사건이 아니면 무시 가능
FAIL,REGRESS,010120 분할비율 ['분할비율 미산정; 신설회사 주식 100%를 존속회사가 보유'] ≠ 기존 반영 5:1
INFO,REGRESS,010120 비율 표기 '1 old share -> 5 new shares' → 5:1 로 해석
WARN,REGRESS,010120 값 0.2 는 비율(5)이 아니라 계수(1/5)다 — 데이터사전 §4 는 ratio 칸과 factor 칸을 나눈다. 표기 규약 확정 필요
INFO,GATE,approved_adjustment_factor 미도입 — 팀 승인 전 단계로 간주

--- 원장 밖 후보 전량 ---
security_id,rcept_dt,rcept_no,report_nm,tier
010120,20260205,20260205800493,주식분할결정,1차
010120,20260205,20260205800453,주주총회소집결의,2차
010120,20260225,20260225002502,[기재정정]주주총회소집공고,2차
010120,20260225,20260225002281,주주총회소집공고,2차
010120,20260310,20260310002425,[기재정정]주주총회소집공고,2차
010120,20260310,20260310800677,[기재정정]주주총회소집결의,2차
010120,20260326,20260326801952,정기주주총회결과,2차
012450,20251124,20251124800579,유상증자결정(종속회사의주요경영사항),1차
012450,20251124,20251124800562,유상증자결정(종속회사의주요경영사항),1차
012450,20251222,20251222800718,[기재정정]유상증자결정(종속회사의주요경영사항),1차
012450,20251222,20251222800475,[기재정정]유상증자결정(종속회사의주요경영사항),1차
012450,20251223,20251223800520,[기재정정]유상증자결정(종속회사의주요경영사항),1차
012450,20251224,20251224800950,[기재정정]기타경영사항(자율공시)              (기업지배구조헌장 개정의 건),2차
012450,20260223,20260223004042,주주총회소집공고,2차
012450,20260223,20260223800856,주주총회소집결의,2차
012450,20260304,20260304801517,[기재정정]유상증자결정(종속회사의주요경영사항),1차
012450,20260309,20260309001870,[기재정정]주주총회소집공고,2차
012450,20260309,20260309801319,[기재정정]주주총회소집결의,2차
012450,20260324,20260324801615,정기주주총회결과,2차
012450,20260409,20260409801020,[기재정정]기타경영사항(자율공시)              (기업지배구조헌장 개정의 건),2차
012450,20260604,20260604800266,기타경영사항(자율공시),2차
018260,20260213,20260213002614,주주총회소집공고,2차
018260,20260213,20260213801565,주주총회소집결의,2차
018260,20260226,20260226004916,[기재정정]주주총회소집공고,2차
018260,20260318,20260318801311,정기주주총회결과,2차
018260,20260430,20260430801433,유상증자또는주식관련사채등의발행결과(자율공시),1차
064350,20260226,20260226002495,주주총회소집공고,2차
064350,20260226,20260226800336,주주총회집중일개최사유신고,2차
064350,20260226,20260226800330,주주총회소집결의,2차
064350,20260327,20260327800638,정기주주총회결과,2차
064400,20251215,20251215800533,기타경영사항(자율공시)              (배당기준일 변경 안내),2차
064400,20260212,20260212801539,주주총회소집결의,2차
064400,20260223,20260223000996,주주총회소집공고,2차
064400,20260324,20260324800837,정기주주총회결과,2차
079550,20251223,20251223800205,기타경영사항(자율공시),2차
079550,20260224,20260224801352,주주총회소집결의,2차
079550,20260227,20260227006218,주주총회소집공고,2차
079550,20260331,20260331801667,정기주주총회결과,2차
079550,20260626,20260626000001,주요사항보고서(유상증자결정),1차
267260,20260223,20260223002953,주주총회소집공고,2차
267260,20260223,20260223800589,주주총회소집결의,2차
267260,20260324,20260324801629,정기주주총회결과,2차
298040,20260225,20260225005386,주주총회소집공고,2차
298040,20260225,20260225801614,주주총회소집결의,2차
298040,20260319,20260319801907,정기주주총회결과,2차
298040,20260424,20260424800722,주주총회소집결의,2차
298040,20260518,20260518000325,주주총회소집공고,2차
298040,20260602,20260602800611,임시주주총회결과,2차
307950,20251128,20251128800208,기타경영사항(자율공시)              (현대자동차 2025년 어플리케이션 운영 서비스 계약 체결),2차
307950,20251212,20251212800329,기타경영사항(자율공시)              (배당기준일 안내),2차
307950,20260225,20260225800704,주주총회소집결의,2차
307950,20260225,20260225003206,주주총회소집공고,2차
307950,20260326,20260326800338,정기주주총회결과,2차
